Time (sec), Heater 1, Heater 2, Temperature 1, Temperature 2,K1s,K2s,K3s,tau12s,tau3s
1.226362812519073486e+02,9.056396761745206447e+01,0.000000000000000000e+00,5.796000000000000085e+01,2.798999999999999844e+01,8.757052207600000138e-01,2.999999999999999889e-01,5.200000000000000178e-01,1.407129662700000097e+02,2.000000000000000000e+01
1.256275231838226318e+02,9.056396761745206447e+01,0.000000000000000000e+00,5.892999999999999972e+01,2.830999999999999872e+01,8.914419449599999545e-01,2.999999999999999889e-01,5.300000000000000266e-01,1.433420057399999905e+02,2.000000000000000000e+01
1.286180982589721680e+02,9.056396761745206447e+01,0.000000000000000000e+00,5.957000000000000028e+01,2.860000000000000142e+01,9.081365891499999510e-01,2.999999999999999889e-01,5.400000000000000355e-01,1.460025663700000109e+02,2.000000000000000000e+01
1.316092219352722168e+02,9.056396761745206447e+01,0.000000000000000000e+00,6.053999999999999915e+01,2.885999999999999943e+01,9.212315495899999762e-01,2.999999999999999889e-01,5.500000000000000444e-01,1.482225376199999971e+02,2.000000000000000000e+01
1.345999884605407715e+02,9.056396761745206447e+01,0.000000000000000000e+00,6.117999999999999972e+01,2.898999999999999844e+01,9.362539302300000310e-01,2.999999999999999889e-01,5.600000000000000533e-01,1.509256318500000020e+02,2.000000000000000000e+01
1.376082255840301514e+02,9.056396761745206447e+01,0.000000000000000000e+00,6.214999999999999858e+01,2.928000000000000114e+01,9.456074356300000483e-01,2.999999999999999889e-01,5.699999999999999512e-01,1.522737926800000139e+02,2.000000000000000000e+01
1.405993952751159668e+02,9.056396761745206447e+01,0.000000000000000000e+00,6.311999999999999744e+01,2.960000000000000142e+01,9.634121219000000291e-01,2.999999999999999889e-01,5.799999999999999600e-01,1.555849814499999866e+02,2.000000000000000000e+01
1.435901916027069092e+02,9.056396761745206447e+01,0.000000000000000000e+00,6.382000000000000028e+01,2.992000000000000171e+01,9.792981524399999582e-01,2.999999999999999889e-01,5.899999999999999689e-01,1.586692524199999923e+02,2.000000000000000000e+01
1.465809309482574463e+02,9.056396761745206447e+01,0.000000000000000000e+00,6.440000000000000568e+01,3.023999999999999844e+01,9.958664521700000272e-01,2.999999999999999889e-01,5.999999999999999778e-01,1.619429131400000017e+02,2.000000000000000000e+01
1.495785374641418457e+02,7.665092563626441802e+01,6.862541570267025293e+01,6.501999999999999602e+01,3.057000000000000028e+01,1.000000000000000000e+00,2.999999999999999889e-01,6.079662323500000243e-01,1.625880284200000006e+02,2.000000000000000000e+01
1.525695011615753174e+02,7.665092563626441802e+01,6.862541570267025293e+01,6.562999999999999545e+01,3.101999999999999957e+01,1.000000000000000000e+00,2.000000000000000111e-01,6.101879502699999458e-01,1.623148656799999969e+02,2.000000000000000000e+01
1.555662932395935059e+02,7.665092563626441802e+01,6.862541570267025293e+01,6.604999999999999716e+01,3.114999999999999858e+01,1.000000000000000000e+00,1.000000000000000056e-01,6.076139054200000444e-01,1.614795561599999871e+02,2.000000000000000000e+01
1.585574467182159424e+02,7.665092563626441802e+01,6.862541570267025293e+01,6.665999999999999659e+01,3.157000000000000028e+01,1.000000000000000000e+00,2.000000000000000111e-01,6.058404813100000119e-01,1.606883314400000131e+02,2.000000000000000000e+01
1.615501260757446289e+02,7.665092563626441802e+01,6.862541570267025293e+01,6.729999999999999716e+01,3.214999999999999858e+01,1.000000000000000000e+00,2.999999999999999889e-01,6.031128794000000237e-01,1.594843760100000054e+02,2.000000000000000000e+01
1.645482213497161865e+02,7.665092563626441802e+01,6.862541570267025293e+01,6.784999999999999432e+01,3.256000000000000227e+01,1.000000000000000000e+00,4.000000000000000222e-01,6.012633983899999812e-01,1.588457932500000140e+02,2.000000000000000000e+01
1.675476353168487549e+02,7.665092563626441802e+01,6.862541570267025293e+01,6.826999999999999602e+01,3.310999999999999943e+01,1.000000000000000000e+00,5.000000000000000000e-01,5.945132660099999855e-01,1.568174433599999986e+02,2.000000000000000000e+01
1.705424458980560303e+02,7.665092563626441802e+01,6.862541570267025293e+01,6.853000000000000114e+01,3.368999999999999773e+01,1.000000000000000000e+00,5.999999999999999778e-01,5.919457285200000474e-01,1.558186697300000105e+02,2.000000000000000000e+01
1.735397799015045166e+02,7.665092563626441802e+01,6.862541570267025293e+01,6.887999999999999545e+01,3.427000000000000313e+01,1.000000000000000000e+00,6.896275508300000467e-01,5.894283604600000226e-01,1.552426494999999989e+02,2.000000000000000000e+01
1.765306429862976074e+02,7.665092563626441802e+01,6.862541570267025293e+01,6.929999999999999716e+01,3.482000000000000028e+01,1.000000000000000000e+00,6.481996000699999927e-01,5.794283599999999756e-01,1.528470599400000083e+02,2.000000000000000000e+01
1.795221910476684570e+02,7.665092563626441802e+01,6.862541570267025293e+01,6.987999999999999545e+01,3.546000000000000085e+01,1.000000000000000000e+00,5.981782924899999854e-01,5.697087118400000483e-01,1.503930875199999946e+02,2.000000000000000000e+01
1.825133681297302246e+02,7.665092563626441802e+01,6.862541570267025293e+01,7.023999999999999488e+01,3.585000000000000142e+01,1.000000000000000000e+00,5.890928174099999692e-01,5.664872656599999612e-01,1.495425388099999964e+02,2.000000000000000000e+01
1.855040323734283447e+02,7.665092563626441802e+01,6.862541570267025293e+01,7.053000000000000114e+01,3.665999999999999659e+01,1.000000000000000000e+00,5.558261613799999612e-01,5.650020786099999581e-01,1.488022937700000057e+02,2.000000000000000000e+01
1.884952335357666016e+02,7.665092563626441802e+01,6.862541570267025293e+01,7.084999999999999432e+01,3.717000000000000171e+01,1.000000000000000000e+00,5.325210558999999844e-01,5.637579274299999721e-01,1.482863067600000022e+02,2.000000000000000000e+01
1.914860525131225586e+02,7.665092563626441802e+01,6.862541570267025293e+01,7.117000000000000171e+01,3.800999999999999801e+01,1.000000000000000000e+00,5.256028627600000114e-01,5.603004783499999641e-01,1.472767917799999964e+02,2.000000000000000000e+01
1.944770550727844238e+02,7.665092563626441802e+01,6.862541570267025293e+01,7.129999999999999716e+01,3.885000000000000142e+01,1.000000000000000000e+00,5.223788499899999493e-01,5.570631353899999638e-01,1.463788952600000073e+02,2.000000000000000000e+01
1.974681334495544434e+02,7.665092563626441802e+01,6.862541570267025293e+01,7.148999999999999488e+01,3.949000000000000199e+01,1.000000000000000000e+00,5.215731938000000012e-01,5.562489823199999739e-01,1.461486434800000040e+02,2.000000000000000000e+01
