Time (sec), Heater 1, Heater 2, Temperature 1, Temperature 2
4.008504016399383545e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.700999999999999801e+01,3.603999999999999915e+01
4.038405699729919434e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.700999999999999801e+01,3.603999999999999915e+01
4.068311531543731689e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.700999999999999801e+01,3.571999999999999886e+01
4.098226778507232666e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.700999999999999801e+01,3.571999999999999886e+01
4.128128237724304199e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.692000000000000171e+01,3.539999999999999858e+01
4.158037600517272949e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.668999999999999773e+01,3.527000000000000313e+01
4.187952752113342285e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.656000000000000227e+01,3.507999999999999829e+01
4.217856380939483643e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.636999999999999744e+01,3.475999999999999801e+01
4.247763309478759766e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.636999999999999744e+01,3.475999999999999801e+01
4.277670152187347412e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.621000000000000085e+01,3.453000000000000114e+01
4.307575118541717529e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.603999999999999915e+01,3.442999999999999972e+01
4.337492308616638184e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.597999999999999687e+01,3.421000000000000085e+01
4.367403147220611572e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.571999999999999886e+01,3.410999999999999943e+01
4.397316460609436035e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.539999999999999858e+01,3.389000000000000057e+01
4.427226779460906982e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.534000000000000341e+01,3.378999999999999915e+01
4.457141859531402588e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.507999999999999829e+01,3.356000000000000227e+01
4.487055857181549072e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.485000000000000142e+01,3.346999999999999886e+01
4.516964380741119385e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.475999999999999801e+01,3.321000000000000085e+01
4.546871557235717773e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.468999999999999773e+01,3.314000000000000057e+01
4.576782200336456299e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.442999999999999972e+01,3.314000000000000057e+01
4.606693928241729736e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.436999999999999744e+01,3.297999999999999687e+01
4.636605172157287598e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.410999999999999943e+01,3.282000000000000028e+01
4.666517629623413086e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.407999999999999829e+01,3.278999999999999915e+01
4.696425793170928955e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.378999999999999915e+01,3.250000000000000000e+01
4.726335034370422363e+02,1.927288722499999914e-07,3.669077068600000005e-07,3.378999999999999915e+01,3.250000000000000000e+01
4.756245958805084229e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.346999999999999886e+01,3.250000000000000000e+01
4.786160688400268555e+02,1.939235808300000098e-07,3.690816333399999924e-07,3.346999999999999886e+01,3.217999999999999972e+01
4.816072916984558105e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.314000000000000057e+01,3.214999999999999858e+01
4.845982446670532227e+02,1.077109708900000049e-07,2.088498644199999936e-07,3.310999999999999943e+01,3.185999999999999943e+01
4.875892281532287598e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.282000000000000028e+01,3.185999999999999943e+01
4.905800564289093018e+02,1.361367723999999970e-07,2.617208920599999991e-07,3.282000000000000028e+01,3.169000000000000128e+01
4.935714960098266602e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.250000000000000000e+01,3.153000000000000114e+01
4.965621113777160645e+02,1.147333321099999989e-07,2.219209744899999878e-07,3.250000000000000000e+01,3.153000000000000114e+01
4.995531365871429443e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.217999999999999972e+01,3.123999999999999844e+01
5.025438458919525146e+02,1.740043440600000070e-07,3.321313238899999955e-07,3.217999999999999972e+01,3.121000000000000085e+01
5.055351572036743164e+02,1.479839084600000031e-07,2.836482049900000108e-07,3.185999999999999943e+01,3.121000000000000085e+01
5.085256328582763672e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.185999999999999943e+01,3.089000000000000057e+01
5.115161466598510742e+02,1.999177424900000046e-07,3.801282153400000176e-07,3.157000000000000028e+01,3.089000000000000057e+01
5.145071625709533691e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.153000000000000114e+01,3.082000000000000028e+01
5.174977447986602783e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.128000000000000114e+01,3.057000000000000028e+01
5.204888012409210205e+02,5.569505831400000257e-09,1.894459689699999868e-08,3.121000000000000085e+01,3.057000000000000028e+01
5.234796216487884521e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.121000000000000085e+01,3.046999999999999886e+01
5.264705100059509277e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.089000000000000057e+01,3.023999999999999844e+01
5.294610288143157959e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.089000000000000057e+01,3.023999999999999844e+01
5.324516656398773193e+02,1.108870085299999978e-07,2.024482135899999978e-07,3.066000000000000014e+01,3.001999999999999957e+01
5.354427354335784912e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.057000000000000028e+01,2.992000000000000171e+01
5.384340243339538574e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.057000000000000028e+01,2.992000000000000171e+01
5.414254999160766602e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.037000000000000099e+01,2.992000000000000171e+01
5.444166183471679688e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.023999999999999844e+01,2.976000000000000156e+01
5.474077889919281006e+02,7.416481912100000110e-08,9.794526505200000412e-08,3.023999999999999844e+01,2.966000000000000014e+01
5.503994002342224121e+02,5.080745340899999989e-09,1.308270388399999960e-08,3.023999999999999844e+01,2.960000000000000142e+01
5.533911678791046143e+02,3.005486484399999933e-07,4.823649245999999777e-07,2.994999999999999929e+01,2.960000000000000142e+01
5.563820374011993408e+02,2.957939550199999869e-08,3.268340934499999713e-08,2.992000000000000171e+01,2.960000000000000142e+01
5.593730990886688232e+02,0.000000000000000000e+00,0.000000000000000000e+00,2.989000000000000057e+01,2.928000000000000114e+01
5.623635575771331787e+02,0.000000000000000000e+00,0.000000000000000000e+00,2.962999999999999901e+01,2.928000000000000114e+01
5.653541345596313477e+02,0.000000000000000000e+00,0.000000000000000000e+00,2.960000000000000142e+01,2.928000000000000114e+01
5.683456208705902100e+02,0.000000000000000000e+00,0.000000000000000000e+00,2.950000000000000000e+01,2.917999999999999972e+01
5.713366098403930664e+02,0.000000000000000000e+00,0.000000000000000000e+00,2.928000000000000114e+01,2.896000000000000085e+01
5.743273401260375977e+02,1.117314057799999898e-06,8.244081975900000113e-08,2.928000000000000114e+01,2.896000000000000085e+01
5.773181853294372559e+02,1.862786533200000086e-06,6.155199603699999352e-08,2.928000000000000114e+01,2.896000000000000085e+01
5.803095877170562744e+02,2.659940220699999818e-06,6.184879903300000551e-08,2.898999999999999844e+01,2.896000000000000085e+01
5.833000543117523193e+02,6.947308854800000274e-06,1.002795079600000046e-07,2.896000000000000085e+01,2.869999999999999929e+01
5.862906937599182129e+02,6.947357432000000347e-06,1.013379622100000066e-07,2.896000000000000085e+01,2.862999999999999901e+01
5.892815322875976562e+02,6.945836102899999975e-06,5.091275014899999674e-01,2.882999999999999829e+01,2.862999999999999901e+01
5.922726960182189941e+02,5.190072457899999793e-05,5.091263132300000160e-01,2.869999999999999929e+01,2.862999999999999901e+01
5.952636482715606689e+02,5.187985255999999674e-05,5.091263137000000549e-01,2.862999999999999901e+01,2.833999999999999986e+01
5.982548944950103760e+02,5.187962554199999676e-05,2.767598940100000071e+00,2.862999999999999901e+01,2.830999999999999872e+01
